,year,month,rating_standard,rating_rapid,rating_blitz,country
0,2015.0,7.0675008231807706,1907.3497801692579,2040.196240079365,1913.6395185622457,ARG
1,2016.0,6.921052631578948,1862.9504554331052,1939.4160998877664,1874.89931209951,ARG
2,2017.0,6.930966912945712,1818.7222941685307,1880.3416052319517,1817.4251329098172,ARG
3,2018.0,6.842570699830581,1779.376540891414,1800.4648347175057,1778.2478350648266,ARG
4,2019.0,6.784264895775687,1749.2133753159403,1766.0097324150597,1765.165947680126,ARG
5,2020.0,6.522633375246992,1742.431584522001,1759.7016046369738,1762.8255337358692,ARG
6,2021.0,2.513948116560057,1739.8805671869052,1754.7443169398907,1761.9584865196077,ARG
0,2015.0,6.7385396163791444,1769.2602232049785,1756.1181111754586,1865.2775912873813,ESP
1,2016.0,6.7784259432637395,1738.0000828783684,1707.3113163567084,1800.644172725671,ESP
2,2017.0,6.742142571972589,1705.7255475561078,1670.9901535979627,1766.5471106697585,ESP
3,2018.0,6.702295332920701,1679.9204177093086,1641.084659147733,1727.3854376679465,ESP
4,2019.0,6.689546280729696,1656.3339605637611,1611.405047788134,1695.3909681827415,ESP
5,2020.0,6.5479489959989525,1646.8066177271764,1604.3832362547632,1684.818999769996,ESP
6,2021.0,2.504611551191937,1645.7050328114503,1602.5765420499126,1682.885160532498,ESP
0,2015.0,7.173130193905817,1839.9422278456839,1921.5910493827162,1817.2503209000301,URU
1,2016.0,6.981220657276995,1795.1592900256924,1883.2285987958403,1810.7842433308401,URU
2,2017.0,7.046534653465346,1764.21426317717,1878.334090909091,1761.1455806783144,URU
3,2018.0,6.746729888816219,1742.8898699294532,1837.797140522876,1751.990553684998,URU
4,2019.0,6.8550955414012735,1718.3484964160234,1731.3117394179894,1725.4954432337906,URU
5,2020.0,6.632882882882883,1699.992780646395,1724.0606918238993,1717.2094605573159,URU
6,2021.0,2.5226608187134505,1696.9701873935264,1713.583904109589,1717.3619302949062,URU
0,2015.0,6.70843797086891,1903.388653398057,1977.29670433145,2038.851747311828,SUI
1,2016.0,6.697690531177829,1880.4934403615594,1950.4320673549657,2016.1851621808146,SUI
2,2017.0,6.7301016088060965,1856.3083387624786,1894.7784327651514,1985.310655835023,SUI
3,2018.0,6.6800574919152,1835.648303991135,1870.4328065232826,1952.3703579418345,SUI
4,2019.0,6.682018348623854,1813.373674671241,1850.3391524986496,1928.4895442359248,SUI
5,2020.0,6.565747613997879,1804.2753008634195,1830.6536513090084,1907.4331179441474,SUI
6,2021.0,2.5021178962230852,1803.4054375686562,1830.4162414965986,1907.4503676470588,SUI
0,2015.0,6.869055729663442,1782.609065221597,1797.8832575405725,1858.0895007559325,ITA
1,2016.0,6.827700057864461,1751.2660159989778,1728.753660862355,1803.9871885452826,ITA
2,2017.0,6.877356048053024,1720.2666698411376,1663.5425698657527,1760.260442991067,ITA
3,2018.0,6.780024045130861,1690.7941382654437,1617.3181332612726,1724.397976561424,ITA
4,2019.0,6.7494037129314535,1667.1078494294097,1578.764948816544,1694.9471285045013,ITA
5,2020.0,6.530177322271027,1661.8320785825822,1572.973514758413,1689.595254440449,ITA
6,2021.0,2.5027552674230145,1660.1004499777398,1573.0590488274827,1689.7169826740765,ITA
0,2015.0,7.132022869811771,1892.3370289820002,1860.4380723814168,1890.184735118456,RUS
1,2016.0,7.0724854573536,1810.7560503015254,1767.1338567139028,1809.3054734061868,RUS
2,2017.0,6.85204161977945,1772.6408810613675,1713.737026234996,1762.1440296454505,RUS
3,2018.0,6.802563477090206,1741.0666967221707,1667.754630896874,1721.809896074306,RUS
4,2019.0,6.79038090998921,1710.8621328554746,1622.4216988961819,1674.5841920891116,RUS
5,2020.0,6.552740960326419,1704.4095490854463,1610.230464508027,1661.8994673653453,RUS
6,2021.0,2.5130502859370063,1700.63173142942,1604.7243686221768,1656.3964924146558,RUS
0,2015.0,7.0546139359698685,1987.6277507561883,2014.7875882108758,2036.227654497733,CAN
1,2016.0,6.829338842975207,1953.424491189131,2007.7797101449275,1992.9473118279568,CAN
2,2017.0,6.849673202614379,1915.763917443832,1980.5783670931057,1979.2698412698412,CAN
3,2018.0,6.942546583850931,1868.6859331746768,1937.0498027613414,1931.192731277533,CAN
4,2019.0,6.923592493297587,1826.0462048105892,1874.9484732824428,1902.1033950617284,CAN
5,2020.0,6.51571503404924,1818.8997383735148,1865.64683600713,1896.7245631497456,CAN
6,2021.0,2.5,1818.9935449166219,1865.6875,1895.8036363636363,CAN
0,2015.0,6.815808823529411,1893.0348614383286,1885.917711598746,1927.5278514003003,CHI
1,2016.0,6.938725490196078,1836.175029463583,1835.6608054226476,1844.565099607183,CHI
2,2017.0,6.84360435007768,1775.636462906956,1773.569402063856,1793.5596652127333,CHI
3,2018.0,6.764165772640349,1733.6205245253323,1754.4073228420214,1734.323165667469,CHI
4,2019.0,6.712874486451553,1699.902840836424,1738.4393034743034,1694.488386409924,CHI
5,2020.0,6.5260104041616644,1688.314430918254,1728.3339410144222,1690.694209153853,CHI
6,2021.0,2.501797842588893,1687.6837284482758,1728.3516042780748,1690.6342729970327,CHI
0,2015.0,6.929577464788732,1871.6025290498976,1880.3051440329218,2080.291384432561,LUX
1,2016.0,6.830708661417323,1841.4093310657597,1854.9616104868915,1964.1843434343434,LUX
2,2017.0,6.785714285714286,1820.5262717456026,1825.7233333333334,1892.6261363636365,LUX
