,country,rank,rating,games,birth_year,ranking_year
13,ESP,30.75,2671.125,14.625,1977.0,2002.0
14,EST,101.0,2600.0,23.0,1962.0,2002.0
15,FRA,56.333333333333336,2634.904761904762,10.952380952380953,1971.095238095238,2002.0
16,GEO,39.2,2659.0,9.8,1960.8,2002.0
17,GER,67.22222222222223,2622.4444444444443,14.296296296296296,1962.0,2002.0
18,GRE,85.0,2601.0,17.0,1976.0,2002.0
19,HUN,34.266666666666666,2670.0,10.333333333333334,1974.3333333333333,2002.0
20,IND,19.142857142857142,2710.285714285714,20.428571428571427,1974.142857142857,2002.0
21,ISL,68.4,2620.8,10.8,1966.6,2002.0
22,ISR,20.166666666666668,2684.0833333333335,15.416666666666666,1971.0,2002.0
23,KAZ,91.0,2604.3333333333335,9.333333333333334,1967.6666666666667,2002.0
24,LTU,96.0,2598.0,24.0,1963.0,2002.0
25,MDA,48.25,2640.25,13.25,1971.0,2002.0
26,MKD,52.0,2638.6666666666665,10.0,1966.6666666666667,2002.0
27,NED,48.611111111111114,2643.3333333333335,18.555555555555557,1968.0,2002.0
28,POL,58.142857142857146,2631.4285714285716,24.571428571428573,1969.0,2002.0
29,ROM,77.66666666666667,2612.6666666666665,16.0,1975.5,2002.0
30,ROU,82.0,2608.0,30.5,1975.5,2002.0
31,RUS,43.26262626262626,2664.3030303030305,11.494949494949495,1971.5050505050506,2002.0
32,SLO,56.0,2636.0,22.0,1958.3333333333333,2002.0
33,SUI,66.85714285714286,2622.285714285714,20.142857142857142,1948.5714285714287,2002.0
34,SVK,65.75,2627.5,25.0,1967.5,2002.0
35,SWE,92.33333333333333,2603.0,11.333333333333334,1956.0,2002.0
36,UKR,49.77777777777778,2661.5555555555557,17.88888888888889,1971.2777777777778,2002.0
37,USA,69.56,2621.28,17.04,1963.52,2002.0
38,UZB,28.75,2668.75,9.75,1979.0,2002.0
0,ARM,52.1875,2645.75,12.0625,1966.25,2003.0
1,AZE,58.4,2634.6,17.0,1986.6,2003.0
2,BEL,57.8,2635.4,26.2,1961.0,2003.0
3,BIH,47.0,2644.25,18.25,1960.0,2003.0
4,BLR,51.4,2642.0,17.6,1972.8,2003.0
5,BRA,71.0,2622.0,14.666666666666666,1978.0,2003.0
6,BUL,5.25,2737.0,3.25,1975.0,2003.0
7,CHN,50.38461538461539,2647.0,14.384615384615385,1968.076923076923,2003.0
8,CRO,99.0,2601.0,18.0,1966.0,2003.0
9,CUB,88.85714285714286,2608.4285714285716,18.428571428571427,1982.5714285714287,2003.0
10,CYP,67.0,2626.0,37.0,1964.0,2003.0
11,CZE,95.33333333333333,2605.3333333333335,23.666666666666668,1980.0,2003.0
12,DEN,74.125,2620.125,15.25,1968.5,2003.0
13,ENG,53.31818181818182,2651.681818181818,10.727272727272727,1967.2727272727273,2003.0
14,ESP,24.375,2690.625,17.75,1977.0,2003.0
15,EST,98.0,2600.0,17.0,1962.0,2003.0
16,FRA,49.666666666666664,2645.8888888888887,17.666666666666668,1971.4444444444443,2003.0
17,GEO,55.75,2647.625,10.5,1964.375,2003.0
18,GER,64.35,2628.95,17.3,1964.55,2003.0
19,GRE,91.0,2609.0,78.0,1974.0,2003.0
20,HUN,35.4375,2680.0625,15.1875,1978.25,2003.0
21,IND,18.0,2714.0,18.75,1975.0,2003.0
22,ISL,53.333333333333336,2638.0,1.6666666666666667,1963.0,2003.0
23,ISR,35.61538461538461,2665.153846153846,17.615384615384617,1971.5384615384614,2003.0
24,KAZ,92.0,2607.3333333333335,6.666666666666667,1967.6666666666667,2003.0
25,LAT,74.0,2621.0,41.0,1976.0,2003.0
26,LTU,69.0,2624.5,23.0,1963.0,2003.0
27,MAR,85.5,2610.0,16.0,1972.0,2003.0
28,MDA,57.166666666666664,2638.8333333333335,26.166666666666668,1973.0,2003.0
29,MKD,56.0,2637.4,13.6,1966.0,2003.0
30,NED,47.23529411764706,2650.235294117647,20.529411764705884,1971.3529411764705,2003.0
31,PER,64.75,2628.75,13.75,1967.0,2003.0
32,POL,69.125,2623.375,24.625,1973.0,2003.0
33,ROM,47.666666666666664,2650.0,30.333333333333332,1976.0,2003.0
34,RUS,42.386138613861384,2668.29702970297,15.316831683168317,1973.069306930693,2003.0
35,SLO,34.5,2658.25,22.5,1953.0,2003.0
36,SUI,62.2,2629.8,22.6,1949.0,2003.0
37,SVK,53.5,2640.1666666666665,17.0,1971.0,2003.0
38,UKR,50.411764705882355,2659.529411764706,13.529411764705882,1972.235294117647,2003.0
39,USA,63.22222222222222,2630.1666666666665,12.333333333333334,1964.5,2003.0
40,UZB,26.25,2672.25,17.5,1979.0,2003.0
0,ARM,53.94444444444444,2647.3333333333335,10.722222222222221,1967.5555555555557,2004.0
1,AZE,39.5,2659.75,16.25,1986.0,2004.0
2,BEL,39.0,2659.75,20.0,1959.0,2004.0
3,BIH,38.5,2660.75,17.25,1960.0,2004.0
4,BLR,55.714285714285715,2646.714285714286,12.0,1972.5714285714287,2004.0
5,BRA,53.0,2643.5,5.25,1978.0,2004.0
6,BUL,28.333333333333332,2702.5,16.666666666666668,1972.6666666666667,2004.0
7,CHN,66.07692307692308,2636.076923076923,12.846153846153847,1970.7692307692307,2004.0
8,CRO,63.666666666666664,2632.3333333333335,17.666666666666668,1966.0,2004.0
9,CUB,68.0,2630.2,21.0,1982.6,2004.0
10,CYP,99.0,2607.0,18.0,1964.0,2004.0
11,CZE,87.5,2618.0,22.5,1985.0,2004.0
12,DEN,55.0,2639.875,14.125,1968.5,2004.0
13,ENG,49.0,2661.55,9.1,1970.6,2004.0
14,ESP,40.083333333333336,2672.4166666666665,14.25,1973.0,2004.0
15,EST,64.0,2631.0,30.0,1962.0,2004.0
16,FRA,46.94117647058823,2655.6470588235293,17.705882352941178,1976.235294117647,2004.0
17,GEO,64.5,2639.4,7.1,1970.0,2004.0
18,GER,71.0,2629.6666666666665,14.2,1966.6666666666667,2004.0
19,GRE,83.66666666666667,2618.3333333333335,36.333333333333336,1974.0,2004.0
20,HUN,41.94117647058823,2676.764705882353,14.588235294117647,1978.4117647058824,2004.0
21,IND,28.666666666666668,2706.8888888888887,10.88888888888889,1976.2222222222222,2004.0
22,ISL,61.5,2634.0,3.25,1963.0,2004.0
23,ISR,36.333333333333336,2671.4,12.133333333333333,1972.4,2004.0
24,KAZ,74.625,2623.875,6.75,1968.0,2004.0
25,LTU,77.33333333333333,2621.0,20.333333333333332,1963.0,2004.0
26,MDA,47.75,2650.25,23.25,1974.0,2004.0
27,MKD,61.0,2633.3333333333335,19.333333333333332,1965.0,2004.0
28,NED,48.583333333333336,2654.6666666666665,19.0,1970.0,2004.0
29,POL,70.22222222222223,2630.0,25.333333333333332,1970.7777777777778,2004.0
30,ROM,36.6,2670.8,20.4,1975.8,2004.0
31,RUS,44.54838709677419,2670.52688172043,14.666666666666666,1973.1935483870968,2004.0
32,SLO,43.4,2657.6,20.0,1957.6,2004.0
33,SUI,32.5,2669.5,26.75,1972.0,2004.0
34,SVK,55.75,2640.25,18.5,1978.0,2004.0
35,SWE,82.0,2616.0,19.0,1966.0,2004.0
36,UKR,47.75,2663.1,16.3,1978.9,2004.0
37,USA,71.73684210526316,2627.8947368421054,10.052631578947368,1965.9473684210527,2004.0
38,UZB,46.5,2648.5,17.5,1979.0,2004.0
0,ARG,90.0,2621.0,35.0,1981.0,2005.0
1,ARM,37.0,2674.5333333333333,16.066666666666666,1970.0666666666666,2005.0
2,AZE,35.0,2668.625,20.75,1986.0,2005.0
3,BEL,57.5,2646.25,26.25,1959.0,2005.0
4,BIH,55.0,2651.5,11.0,1960.0,2005.0
5,BLR,73.6,2631.0,21.0,1972.8,2005.0
6,BRA,65.2,2638.2,7.2,1975.0,2005.0
7,BUL,40.76923076923077,2687.4615384615386,25.846153846153847,1973.8461538461538,2005.0
8,CHN,67.4,2635.1,11.3,1976.4,2005.0
9,CUB,46.5,2656.625,18.125,1982.5,2005.0
10,CZE,50.5,2650.0,26.75,1985.0,2005.0
11,DEN,54.166666666666664,2646.8333333333335,14.833333333333334,1970.0,2005.0
12,ENG,47.76923076923077,2669.3076923076924,11.692307692307692,1972.6153846153845,2005.0
13,ESP,33.36363636363637,2677.2727272727275,14.363636363636363,1973.7272727272727,2005.0
14,EST,91.0,2620.0,39.5,1962.0,2005.0
15,FRA,49.473684210526315,2660.5789473684213,16.789473684210527,1977.1052631578948,2005.0
16,GEO,51.375,2650.875,18.0,1971.625,2005.0
17,GER,79.84615384615384,2627.153846153846,14.153846153846153,1967.0,2005.0
18,GRE,84.0,2626.0,44.0,1964.0,2005.0
19,HUN,46.733333333333334,2682.0666666666666,15.2,1978.1333333333334,2005.0
20,IND,33.833333333333336,2696.4166666666665,19.333333333333332,1978.6666666666667,2005.0
21,IRI,74.5,2628.0,56.0,1982.0,2005.0
22,ISL,85.25,2624.0,2.0,1963.0,2005.0
23,ISR,38.0625,2669.0625,21.625,1972.75,2005.0
24,KAZ,89.57142857142857,2620.714285714286,10.571428571428571,1964.7142857142858,2005.0
25,MDA,35.2,2676.0,23.8,1972.2,2005.0
26,NED,43.357142857142854,2663.785714285714,24.642857142857142,1968.142857142857,2005.0
27,PER,67.0,2637.0,37.0,1967.0,2005.0
28,POL,69.0909090909091,2638.090909090909,23.09090909090909,1972.6363636363637,2005.0
29,ROM,57.25,2652.0,12.875,1975.5,2005.0
30,RUS,44.18390804597701,2672.8735632183907,14.839080459770114,1974.3793103448277,2005.0
31,SLO,73.0,2632.0,28.0,1953.0,2005.0
32,SUI,70.75,2636.125,22.125,1951.5,2005.0
33,SVK,71.75,2633.0,21.75,1978.0,2005.0
34,TUR,91.0,2620.0,64.0,1964.0,2005.0
